MC,CI,DC,RPM,ED,ER,VI,velocity_x_theoretical
5.810000, 0.200000, 0.050000, 2741.000000,0.457600, 0.001600, 11.800000, 0.532895
7.980000, 0.390000, 0.041000, 2851.000000,0.457700, 0.001600, 11.700000, 0.554281
6.200000, 0.270000, 0.064000, 2792.000000,0.457700, 0.001600, 11.700000, 0.542811
3.680000, 0.150000, 0.043000, 2826.000000,0.457700, 0.001600, 11.700000, 0.549421
6.590000, 0.280000, 0.041000, 2857.000000,0.457700, 0.001600, 11.700000, 0.555448
4.960000, 0.190000, 0.053000, 2841.000000,0.457700, 0.001600, 11.800000, 0.552337
4.510000, 0.180000, 0.048000, 2848.000000,0.457700, 0.001600, 11.700000, 0.553698
5.800000, 0.240000, 0.046000, 2857.000000,0.457700, 0.001600, 11.700000, 0.555448
6.490000, 0.270000, 0.048000, 2856.000000,0.457800, 0.001600, 11.700000, 0.555253
6.420000, 0.270000, 0.054000, 2842.000000,0.457800, 0.001600, 11.700000, 0.552531
6.130000, 0.250000, 0.051000, 2836.000000,0.457800, 0.001600, 11.800000, 0.551365
6.020000, 0.250000, 0.048000, 2844.000000,0.457800, 0.001600, 11.800000, 0.552920
6.300000, 0.260000, 0.048000, 2849.000000,0.457800, 0.001600, 11.800000, 0.553892
5.850000, 0.240000, 0.051000, 2849.000000,0.457800, 0.001600, 11.700000, 0.553892
5.670000, 0.230000, 0.052000, 2846.000000,0.457900, 0.001600, 11.700000, 0.553309
5.880000, 0.240000, 0.050000, 2846.000000,0.457900, 0.001600, 11.900000, 0.553309
5.660000, 0.230000, 0.050000, 2850.000000,0.457900, 0.001600, 11.700000, 0.554087
6.040000, 0.250000, 0.050000, 2844.000000,0.457900, 0.001600, 11.700000, 0.552920
7.260000, 0.310000, 0.051000, 2834.000000,0.457900, 0.001600, 11.700000, 0.550976
7.500000, 0.320000, 0.052000, 2823.000000,0.457900, 0.001600, 11.800000, 0.548838
7.400000, 0.310000, 0.053000, 2812.000000,0.458000, 0.001600, 11.700000, 0.546699
7.240000, 0.310000, 0.051000, 2812.000000,0.458000, 0.001600, 11.700000, 0.546699
6.850000, 0.290000, 0.049000, 2816.000000,0.458000, 0.001600, 11.600000, 0.547477
6.200000, 0.260000, 0.050000, 2819.000000,0.458000, 0.001600, 11.700000, 0.548060
5.590000, 0.230000, 0.050000, 2826.000000,0.458000, 0.001600, 11.700000, 0.549421
5.600000, 0.230000, 0.049000, 2830.000000,0.458100, 0.001600, 11.700000, 0.550198
5.510000, 0.220000, 0.049000, 2836.000000,0.458100, 0.001600, 11.700000, 0.551365
6.270000, 0.260000, 0.049000, 2834.000000,0.458100, 0.001600, 11.700000, 0.550976
6.570000, 0.270000, 0.050000, 2831.000000,0.458100, 0.001600, 11.800000, 0.550393
6.900000, 0.290000, 0.051000, 2823.000000,0.458100, 0.001600, 11.800000, 0.548838
