roll,pitch,yaw,ax,ay,az,wx,wy,wz,x_q,y_q,z_q,w_q,roll_xi,pitch_yi,yaw_zi,velocity_y
3.778723, -2.468156, -30.778485, 0.042480,-0.069336, 1.042480, 0.000000, 0.366211, 0.183105, 0.026068, 0.029501,-0.264485,-0.963586,-0.065951,-0.043077,0.537186, 0.000000
3.771344, -2.493335, -30.781723, 0.046387,-0.065918, 1.035645, -0.183105, 0.183105, 0.122070, 0.025947, 0.029696,-0.264506,-0.963578,-0.065822,-0.043517,0.537242, 0.000000
3.759833, -2.411391, -30.786323, 0.041992,-0.069336, 1.043457, 0.000000, 0.244141, 0.061035, 0.026039, 0.028982,-0.264574,-0.963578,-0.065621,-0.042087,0.537323, 0.000000
3.752978, -2.487459, -30.789093, 0.044434,-0.064941, 1.037109, 0.732422, 0.671387, 0.122070, 0.025804, 0.029606,-0.264574,-0.963565,-0.065502,-0.043414,0.537371, 0.000000
3.776283, -2.448623, -30.792832, 0.046387,-0.070312, 1.036621, 0.549316, 0.610352, 0.244141, 0.026089, 0.029334,-0.264612,-0.963556,-0.065909,-0.042737,0.537436, 0.000000
3.743724, -2.462494, -30.794823, 0.047852,-0.066895, 1.041016, 0.366211, 0.671387, 0.183105, 0.025782, 0.029376,-0.264633,-0.963557,-0.065340,-0.042979,0.537471, 0.000000
3.669885, -2.517125, -30.793150, 0.048828,-0.067383, 1.036621, -0.122070, 0.305176, 0.061035, 0.025035, 0.029664,-0.264620,-0.963571,-0.064052,-0.043932,0.537442, 0.000000
3.794264, -2.516285, -30.801865, 0.043945,-0.070312, 1.028320, 0.610352, 0.671387, 0.122070, 0.026081, 0.029947,-0.264661,-0.963523,-0.066222,-0.043917,0.537594, 0.000000
3.691666, -2.302009, -30.801322, 0.035645,-0.064941, 1.059570, 0.488281, 0.488281, 0.183105, 0.025716, 0.027908,-0.264752,-0.963569,-0.064432,-0.040178,0.537585, 0.000000
3.725281, -2.346940, -30.804891, 0.048340,-0.069824, 1.021973, 0.000000, 0.488281, 0.183105, 0.025893, 0.028365,-0.264760,-0.963549,-0.065018,-0.040962,0.537647, 0.000000
